date,pair,fold,pnl,equity,event
2021-01-27,HDFCBANK__KOTAKBANK,3,1478.4974927894825,188748.2534634471,hold
2021-01-28,HDFCBANK__KOTAKBANK,3,482.18224499679735,189230.4357084439,hold
2021-01-29,HDFCBANK__KOTAKBANK,3,-1119.3369553322989,188111.0987531116,hold
2021-02-01,HDFCBANK__KOTAKBANK,3,-1302.9441789383561,186808.15457417327,hold
2021-02-02,HDFCBANK__KOTAKBANK,3,-1998.6350606806507,184809.51951349262,hold
2021-02-03,HDFCBANK__KOTAKBANK,3,-889.6523687794306,183919.86714471318,hold
2021-02-04,HDFCBANK__KOTAKBANK,3,1420.3965359856672,185340.26368069884,hold
2021-02-05,HDFCBANK__KOTAKBANK,3,-610.8344469166154,184729.42923378223,exit
2021-02-08,HDFCBANK__KOTAKBANK,3,0.0,184729.42923378223,flat
2021-02-09,HDFCBANK__KOTAKBANK,3,0.0,184729.42923378223,flat
2021-02-10,HDFCBANK__KOTAKBANK,3,0.0,184729.42923378223,flat
2021-02-11,HDFCBANK__KOTAKBANK,3,0.0,184729.42923378223,flat
2021-02-12,HDFCBANK__KOTAKBANK,3,0.0,184729.42923378223,flat
2021-02-15,HDFCBANK__KOTAKBANK,3,0.0,184729.42923378223,flat
2021-02-16,HDFCBANK__KOTAKBANK,3,0.0,184729.42923378223,flat
2021-02-17,HDFCBANK__KOTAKBANK,3,0.0,184729.42923378223,flat
2021-02-18,HDFCBANK__KOTAKBANK,3,0.0,184729.42923378223,flat
2021-02-19,HDFCBANK__KOTAKBANK,3,-963.2474998687387,183766.1817339135,entry
2021-02-22,HDFCBANK__KOTAKBANK,3,20.965379815924656,183787.1471137294,hold
2021-02-23,HDFCBANK__KOTAKBANK,3,914.9093236702697,184702.05643739967,hold
2021-02-24,HDFCBANK__KOTAKBANK,3,216.16216952193645,184918.2186069216,exit
2021-02-25,HDFCBANK__KOTAKBANK,3,0.0,184918.2186069216,flat
2021-02-26,HDFCBANK__KOTAKBANK,3,0.0,184918.2186069216,flat
2021-03-01,HDFCBANK__KOTAKBANK,3,0.0,184918.2186069216,flat
2021-03-02,HDFCBANK__KOTAKBANK,3,0.0,184918.2186069216,flat
2021-03-03,HDFCBANK__KOTAKBANK,3,0.0,184918.2186069216,flat
2021-03-04,HDFCBANK__KOTAKBANK,3,0.0,184918.2186069216,flat
2021-03-05,HDFCBANK__KOTAKBANK,3,-973.2332438353318,183944.98536308628,entry
2021-03-08,HDFCBANK__KOTAKBANK,3,-124.50314586900686,183820.48221721727,hold
2021-03-09,HDFCBANK__KOTAKBANK,3,-95.91735471961071,183724.56486249767,hold
2021-03-10,HDFCBANK__KOTAKBANK,3,88.28816583503237,183812.8530283327,hold
2021-03-12,HDFCBANK__KOTAKBANK,3,371.142955171768,184183.99598350446,hold
2021-03-15,HDFCBANK__KOTAKBANK,3,-240.3518520240261,183943.64413148043,hold
2021-03-16,HDFCBANK__KOTAKBANK,3,-112.11155567744007,183831.532575803,hold
2021-03-17,HDFCBANK__KOTAKBANK,3,190.71736351535745,184022.24993931834,hold
2021-03-18,HDFCBANK__KOTAKBANK,3,505.5828668129281,184527.83280613128,hold
2021-03-19,HDFCBANK__KOTAKBANK,3,72.36786587649829,184600.20067200778,hold
2021-03-22,HDFCBANK__KOTAKBANK,3,-427.3173159246575,184172.88335608313,hold
2021-03-23,HDFCBANK__KOTAKBANK,3,-171.74339535135437,184001.13996073176,exit
2021-03-24,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-03-25,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-03-26,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-03-30,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-03-31,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-01,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-05,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-06,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-07,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-08,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-09,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-12,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-13,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-15,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-16,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-19,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
2021-04-20,HDFCBANK__KOTAKBANK,3,0.0,184001.13996073176,flat
