Date,TCS.NS,INFY.NS,WIPRO.NS,HCLTECH.NS,TECHM.NS,MPHASIS.NS
2015-06-04,1014.252685546875,377.76416015625,91.98556518554688,350.03729248046875,397.4486999511719,275.5379943847656
2015-06-05,1011.9736328125,374.7093200683594,92.50149536132812,345.7019958496094,394.7740478515625,274.1711730957031
2015-06-08,1012.6024780273438,372.5486145019531,92.36835479736328,341.9621276855469,392.6700439453125,273.1737976074219
2015-06-09,1006.3948974609375,371.0677185058594,90.46273803710938,339.1527099609375,385.5020751953125,275.0946960449219
2015-06-10,1021.7562255859375,377.4754638671875,93.658203125,350.7442626953125,396.77117919921875,277.6066589355469
2015-06-11,1010.1865234375,372.1015625,90.87882232666016,340.4178771972656,397.6626281738281,278.6779479980469
2015-06-12,984.4532470703125,367.8918762207031,89.43087005615234,333.5521545410156,393.3119812011719,277.08941650390625
2015-06-15,984.060791015625,374.57635498046875,90.02171325683594,337.9060363769531,395.1662902832031,279.6752624511719
2015-06-16,986.8887939453125,377.9421691894531,89.92186737060547,337.25482177734375,393.3119812011719,281.115966796875
2015-06-17,987.596435546875,376.56182861328125,90.9620361328125,337.25482177734375,391.6715393066406,280.89434814453125
2015-06-18,993.9803466796875,378.92547607421875,92.5514144897461,340.0270080566406,386.00128173828125,284.21893310546875
2015-06-19,1001.6414184570312,376.42950439453125,93.45845794677734,341.68310546875,388.1053161621094,293.15850830078125
2015-06-22,1018.122314453125,387.2077941894531,93.23381042480469,346.6508483886719,393.3119812011719,292.38275146484375
2015-06-23,1011.483154296875,378.33935546875,92.76779174804688,345.1252136230469,394.8454284667969,298.404052734375
2015-06-24,1009.7935791015625,376.3349304199219,94.09923553466797,349.08831787109375,388.9255676269531,298.21929931640625
2015-06-25,1001.818359375,374.57635498046875,91.89405059814453,344.6228942871094,377.8704528808594,295.37493896484375
2015-06-26,1018.6332397460938,380.17352294921875,92.975830078125,356.21441650390625,372.1645812988281,293.15850830078125
2015-06-29,1018.6719970703125,374.4629211425781,91.9356460571289,345.4787292480469,344.7408142089844,286.2507019042969
2015-06-30,1002.1912841796875,372.2694091796875,90.98699188232422,342.2598876953125,340.7823791503906,303.4648742675781
2015-07-01,1018.7510986328125,377.2048034667969,91.99388122558594,351.3023986816406,346.73779296875,304.20367431640625
2015-07-02,1012.7205200195312,373.6497497558594,92.49317169189453,355.191162109375,341.8522644042969,304.7208557128906
2015-07-03,1022.9938354492188,374.51959228515625,91.46133422851562,359.0612487792969,336.3603820800781,304.3514404296875
2015-07-06,1034.54443359375,371.872314453125,91.54454040527344,360.9403991699219,331.3320007324219,302.46746826171875
2015-07-07,1027.8458251953125,370.8133850097656,92.16863250732422,348.4185791015625,336.2176818847656,302.6891174316406
2015-07-08,1019.536376953125,362.11505126953125,91.99388122558594,347.1904602050781,335.43310546875,296.6309509277344
2015-07-09,991.0146484375,354.7403259277344,90.68744659423828,341.4039001464844,338.2860412597656,292.7890625
2015-07-10,972.0979614257812,354.5513000488281,91.31153869628906,344.45550537109375,338.0721130371094,298.18243408203125
2015-07-13,985.9265747070312,359.3354187011719,93.14226531982422,357.5541076660156,339.3559265136719,297.7391357421875
2015-07-14,981.9783325195312,367.3150634765625,94.09923553466797,355.3586730957031,340.14044189453125,303.317138671875
2015-07-15,1000.1488037109375,372.13702392578125,96.15464782714844,352.8281555175781,342.31585693359375,301.50701904296875
2015-07-16,997.9678955078125,374.04693603515625,95.74687957763672,355.95404052734375,350.767578125,300.2510681152344
2015-07-17,1007.4754638671875,378.88763427734375,94.59020233154297,355.5260314941406,358.1495056152344,303.9450988769531
2015-07-20,1015.4483642578125,378.6607360839844,95.81184387207031,352.27001953125,357.1866149902344,305.93988037109375
2015-07-21,1008.4598388671875,420.7909240722656,97.1598892211914,362.74517822265625,363.32049560546875,311.0007019042969
2015-07-22,995.3292846679688,417.1981201171875,98.50791931152344,365.81524658203125,363.8554382324219,317.83465576171875
2015-07-23,979.797607421875,415.2503967285156,99.25777435302734,360.97760009765625,360.8963623046875,312.18280029296875
2015-07-24,986.313232421875,411.3172302246094,95.5001220703125,354.50274658203125,368.8353271484375,306.34619140625
2015-07-27,983.1246948242188,402.8836975097656,94.6407470703125,348.7162170410156,374.969970703125,300.4726867675781
2015-07-28,985.0927124023438,401.9571533203125,93.79823303222656,343.5995178222656,377.8567810058594,292.8260803222656
2015-07-29,986.943115234375,410.4853210449219,95.1799545288086,354.0189514160156,379.30029296875,305.1640930175781
2015-07-30,976.6675415039062,404.6611633300781,94.69971466064453,356.4563903808594,378.4341735839844,305.3119201660156
2015-07-31,988.5185546875,407.3274230957031,96.0224838256836,371.4714050292969,383.01715087890625,310.4466247558594
2015-08-03,988.0654907226562,408.0459899902344,96.11515808105469,349.3673400878906,377.89288330078125,316.91119384765625
2015-08-04,987.7899169921875,399.8392333984375,94.33743286132812,347.15338134765625,391.2086486816406,321.5287170410156
2015-08-05,1002.8489379882812,410.8446350097656,96.94926452636719,348.8278503417969,397.3793640136719,316.7633972167969
2015-08-06,1013.1450805664062,411.0715026855469,96.31736755371094,352.0280456542969,385.32666015625,315.06414794921875
2015-08-07,1004.778564453125,414.3427429199219,95.89611053466797,351.4107666015625,386.22882080078125,315.17498779296875
2015-08-10,1012.672607421875,410.71221923828125,94.94404602050781,350.32598876953125,383.19757080078125,313.32794189453125
2015-08-11,1025.3109130859375,419.46734619140625,95.3990249633789,351.8036804199219,390.19830322265625,312.8846435546875
2015-08-12,1051.8863525390625,432.7984313964844,97.35368347167969,363.17620849609375,402.39532470703125,312.1089172363281
2015-08-13,1037.67333984375,437.94183349609375,96.24996185302734,361.21221923828125,397.8846130371094,311.9981384277344
2015-08-14,1064.2884521484375,434.6326599121094,96.93240356445312,364.2611999511719,400.5909729003906,313.8081970214844
2015-08-17,1057.024658203125,431.9475402832031,97.03350830078125,362.2970886230469,398.317626953125,313.62347412109375
2015-08-18,1079.1309814453125,440.3432312011719,96.24154663085938,362.7273254394531,405.9317932128906,314.14068603515625
2015-08-19,1076.2576904296875,444.5789794921875,98.53321838378906,369.66693115234375,404.3800354003906,312.47833251953125
2015-08-20,1057.8514404296875,429.0733337402344,97.18518829345703,359.6036071777344,403.3696594238281,314.3623046875
2015-08-21,1053.6385498046875,434.87835693359375,97.05880737304688,360.9690856933594,406.3647766113281,313.660400390625
2015-08-24,1015.251220703125,413.0003356933594,91.72561645507812,347.1274108886719,377.9290466308594,303.6864929199219
2015-08-25,1010.7236938476562,410.579833984375,91.211669921875,341.946044921875,381.0685119628906,319.8682556152344
2015-08-26,1014.5029907226562,402.6190185546875,92.83773803710938,340.43096923828125,366.12884521484375,314.1796875
2015-08-27,1013.6763305664062,409.5020751953125,92.90514373779297,341.5906982421875,374.969970703125,318.75360107421875
2015-08-28,1012.1807861328125,420.1858825683594,94.96932220458984,356.2179260253906,372.6242980957031,324.0962829589844
2015-08-31,1009.5035400390625,413.8890686035156,96.35106658935547,363.2698059082031,371.6861572265625,325.1340637207031
2015-09-01,999.0106811523438,411.8468017578125,95.06201171875,356.1431884765625,369.73748779296875,322.8663024902344
2015-09-02,1020.4287719726562,415.7988586425781,93.39381408691406,354.9834289550781,386.8423156738281,324.13470458984375
2015-09-03,1025.86181640625,415.760986328125,95.5675277709961,359.5099792480469,390.0178527832031,326.3255920410156
2015-09-04,1002.9675903320312,406.1550598144531,93.3516845703125,351.7662048339844,382.0067138671875,313.6031188964844
2015-09-07,999.9356689453125,400.4065856933594,93.0315170288086,344.49005126953125,388.2856750488281,305.60833740234375
2015-09-08,1000.1522827148438,400.425537109375,94.96932220458984,350.2884216308594,387.7083435058594,310.56658935546875
2015-09-09,1003.873046875,411.7332763671875,94.5480728149414,352.8511047363281,384.9657897949219,312.4500732421875
2015-09-10,1002.1597900390625,408.6131896972656,93.0315170288086,342.6382141113281,385.2544250488281,311.796630859375
2015-09-11,1004.7587280273438,412.5085754394531,94.2110595703125,344.246826171875,378.93939208984375,312.9112854003906
2015-09-14,1004.6211547851562,415.912353515625,96.32579040527344,347.3705749511719,379.480712890625,311.7197265625
2015-09-15,998.9512939453125,415.7042541503906,96.23311614990234,347.46405029296875,390.3786315917969,310.4897766113281
2015-09-16,1004.1091918945312,416.63092041015625,97.82548522949219,351.2425842285156,392.7242431640625,305.7236633300781
2015-09-18,1004.4635620117188,417.68975830078125,99.75487518310547,355.6007995605469,405.24615478515625,312.7575378417969
2015-09-21,1004.3848266601562,417.76544189453125,99.78857421875,353.150390625,409.576416015625,308.41424560546875
2015-09-22,994.837158203125,418.8243713378906,100.41204071044922,349.7835693359375,402.57574462890625,312.79595947265625
2015-09-23,997.1403198242188,422.1524658203125,99.54424285888672,346.8280944824219,401.3487854003906,312.7575378417969
2015-09-24,1015.9404907226562,431.3424072265625,101.6168441772461,357.246826171875,409.4681701660156,312.2962341308594
2015-09-28,1021.1763916015625,418.10589599609375,99.91495513916016,355.58203125,413.8346252441406,313.0265808105469
2015-09-29,1019.031005859375,424.27032470703125,99.13138580322266,356.7791748046875,411.6694641113281,311.56597900390625
2015-09-30,1018.9522094726562,439.435546875,100.7406005859375,367.42230224609375,402.2509765625,315.3712158203125
2015-10-01,1041.2166748046875,443.63348388671875,101.06078338623047,320.6224670410156,406.3286437988281,314.90997314453125
2015-10-05,1067.615478515625,446.92376708984375,101.15345764160156,321.6885681152344,411.3086242675781,319.90667724609375
2015-10-06,1063.0284423828125,436.6559143066406,100.9933853149414,319.3316955566406,407.5917053222656,318.3692321777344
2015-10-07,1044.8980712890625,428.562744140625,99.22407531738281,305.71453857421875,408.71044921875,314.25653076171875
2015-10-08,1036.965087890625,428.1656188964844,99.38414764404297,309.99798583984375,406.3286437988281,315.8324279785156
2015-10-09,1035.33056640625,441.496826171875,99.81382751464844,317.68572998046875,405.0296325683594,319.2917175292969
2015-10-12,1020.7437744140625,424.6673583984375,98.3984146118164,319.892822265625,406.1482849121094,315.1021423339844
2015-10-13,1023.0863037109375,415.77996826171875,98.63430786132812,310.46563720703125,404.88525390625,313.6415710449219
2015-10-14,977.867919921875,415.0991516113281,98.22147369384766,311.8310241699219,395.53900146484375,307.5301513671875
2015-10-15,971.5881958007812,415.0047302246094,97.24415588378906,312.37353515625,393.5542297363281,312.8344421386719
2015-10-16,973.261962890625,417.8863220214844,97.2188720703125,314.6742858886719,393.9150695800781,318.17706298828125
2015-10-19,979.8565063476562,424.3935852050781,97.3199691772461,320.88421630859375,390.8838806152344,325.09564208984375
2015-10-20,994.8179931640625,429.7368469238281,96.35106658935547,323.3346252441406,395.5750732421875,320.6754150390625
2015-10-21,996.0973510742188,434.48870849609375,97.37052154541016,322.8669128417969,389.33221435546875,352.9620666503906
2015-10-23,1001.08837890625,438.8777160644531,95.66861724853516,320.94793701171875,389.80133056640625,346.1587829589844
2015-10-26,1000.8518676757812,439.7367248535156,95.88768768310547,324.9364929199219,391.6416931152344,349.541259765625
2015-10-27,998.7012329101562,438.68707275390625,96.9071273803711,326.47918701171875,388.863037109375,346.3894348144531
2015-10-28,997.912353515625,440.13739013671875,97.39580535888672,330.2043762207031,396.62152099609375,346.6200866699219
2015-10-29,984.5953369140625,437.02679443359375,96.8228759765625,329.5836181640625,396.2246398925781,396.97186279296875
